uri,code,result
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412875, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412875', 'warnings': []}"
/repositories/11/archival_objects/2399184,200,"{'status': 'Updated', 'id': 2399184, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399184', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412876, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412876', 'warnings': []}"
/repositories/11/archival_objects/2399185,200,"{'status': 'Updated', 'id': 2399185, 'lock_version': 9, 'stale': True, 'uri': '/repositories/11/archival_objects/2399185', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412877, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412877', 'warnings': []}"
/repositories/11/archival_objects/2399186,200,"{'status': 'Updated', 'id': 2399186, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399186', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412878, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412878', 'warnings': []}"
/repositories/11/archival_objects/2399187,200,"{'status': 'Updated', 'id': 2399187, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399187', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412879, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412879', 'warnings': []}"
/repositories/11/archival_objects/2399188,200,"{'status': 'Updated', 'id': 2399188, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399188', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412880, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412880', 'warnings': []}"
/repositories/11/archival_objects/2399189,200,"{'status': 'Updated', 'id': 2399189, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399189', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412881, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412881', 'warnings': []}"
/repositories/11/archival_objects/2399190,200,"{'status': 'Updated', 'id': 2399190, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399190', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412882, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412882', 'warnings': []}"
/repositories/11/archival_objects/2399191,200,"{'status': 'Updated', 'id': 2399191, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399191', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412883, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412883', 'warnings': []}"
/repositories/11/archival_objects/2399192,200,"{'status': 'Updated', 'id': 2399192, 'lock_version': 11, 'stale': True, 'uri': '/repositories/11/archival_objects/2399192', 'warnings': []}"
/repositories/11/top_containers,200,"{'status': 'Created', 'id': 412884, 'lock_version': 0, 'stale': None, 'uri': '/repositories/11/top_containers/412884', 'warnings': []}"
