uri,title,call_number,series_title,component_id,title,value,dob_uri,dob_title,dob_id,barcode,conditions_governing_access,Local_access_restriction_type,container_id,container_id,container_id,location
/repositories/11/archival_objects/2399187,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 59,"Order, Roman CE 147, Aug 29-Sep 27",file,/repositories/11/digital_objects/202681,P.CtYBR inv. 59,2b32f4b4-23dc-40ad-b849-f0dafe7fa9c0,,,,P.CtYBR inv. 59,,,
/repositories/11/archival_objects/2399188,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 60,"Order, Roman CE 137 [BPG, ASH]|Roman CE 158, Oct 5 [GMP]",file,/repositories/11/digital_objects/200265,P.CtYBR inv. 60,5ef040d1-1beb-4669-9a71-10e71569ef5b,,,,P.CtYBR inv. 60,,,
/repositories/11/archival_objects/2399189,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 61,"Order, Roman CE 166-167",file,/repositories/11/digital_objects/199705,P.CtYBR inv. 61,37f78e2c-8245-493a-8976-a370fec81b96,,,,P.CtYBR inv. 61,,,
/repositories/11/archival_objects/2399190,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 62,"Order, Roman CE 148, Sep 28",file,/repositories/11/digital_objects/198874,P.CtYBR inv. 62,d6cdf453-c00e-42c6-a978-f5a941fd95f7,,,,P.CtYBR inv. 62,,,
/repositories/11/archival_objects/2399191,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 63,"Registration, Roman CE 112",file,/repositories/11/digital_objects/202246,P.CtYBR inv. 63,a8f7181e-a5d4-4154-bc3c-4e2e5f402f55,,,,P.CtYBR inv. 63,,,
/repositories/11/archival_objects/2399192,Yale Papyrus Collection,YPC,"Acquisition information, 1904",P.CtYBR inv. 64 qua,"Letter, Roman CE ii [GMP]",file,/repositories/11/digital_objects/203263,P.CtYBR inv. 64 qua,cb732734-fccd-4e94-b336-c0fde5d2ccd5,,,,P.CtYBR inv. 64 qua,,,
/repositories/11/archival_objects/2399193,Yale Papyrus Collection,YPC,"Acquisition information, 1889",P.CtYBR inv. 17(first text) qua,"Account, Roman CE i-ii [CBW]",file,/repositories/11/digital_objects/203629,P.CtYBR inv. 17(first text) qua,ff59568a-9676-46d5-bbf5-077a501a013e,,,,P.CtYBR inv. 17 qua,,,
/repositories/11/archival_objects/2399194,Yale Papyrus Collection,YPC,"Acquisition information, 1889",P.CtYBR inv. 17(second text) qua,"Account, Ptolemaic [AHS]|Roman CE i-ii [CBW]",file,/repositories/11/digital_objects/197452,P.CtYBR inv. 17(second text) qua,c45eb383-33b5-4799-926f-55131f6d2880,,,,,,,
/repositories/11/archival_objects/2399195,Yale Papyrus Collection,YPC,"Acquisition information, 1889",P.CtYBR inv. 18(A) qua,"Account, Roman CE ii [CBW]",file,/repositories/11/digital_objects/197454,P.CtYBR inv. 18(A) qua,3c8671b5-fc46-4092-9644-27ef06676d3b,,,,P.CtYBR inv. 18 qua,,,
/repositories/11/archival_objects/2399196,Yale Papyrus Collection,YPC,"Acquisition information, 1889",P.CtYBR inv. 18(B) qua,"Account, Roman CE ii [CBW]",file,/repositories/11/digital_objects/197457,P.CtYBR inv. 18(B) qua,693b791a-205f-4923-98a6-e5ec3c9da67b,,,,,,,
/repositories/11/archival_objects/2399197,Yale Papyrus Collection,YPC,"Acquisition information, 1889",P.CtYBR inv. 19 fol,"Account, Roman CE i-iii [CBW]",file,/repositories/11/digital_objects/197456,P.CtYBR inv. 19 fol,cbf047fd-078a-4301-9235-12dc561d0b32,,,,P.CtYBR inv. 19 fol,,,
/repositories/11/archival_objects/2399198,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 20 qua,"Letter, Ptolemaic BCE 253, Apr 5 [BPG, CBW]",file,/repositories/11/digital_objects/203167,P.CtYBR inv. 20 qua,46dfb792-e4ee-42e1-a606-88e54c66016c,,,,P.CtYBR inv. 20 qua,,,
/repositories/11/archival_objects/2399199,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 21,"Letter, Ptolemaic BCE iii (ca. 257) [BPG]",file,/repositories/11/digital_objects/204316,P.CtYBR inv. 21,f64532a9-43f5-42a9-b22b-136e23b95a28,,,,P.CtYBR inv. 21,,,
/repositories/11/archival_objects/2399200,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 22,"Letter, Ptolemaic BCE 250, Jan 28 [BPG, CBW]",file,/repositories/11/digital_objects/198584,P.CtYBR inv. 22,363f7113-6e4b-4e67-a4db-e0c16a0ca70e,,,,P.CtYBR inv. 22,,,
/repositories/11/archival_objects/2399201,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 23,"Letter, Ptolemaic BCE 249, Dec 9 [BPG, CBW]",file,/repositories/11/digital_objects/202133,P.CtYBR inv. 23,90e61029-a397-4b53-883d-8992f2fb19f3,,,,P.CtYBR inv. 23,,,
/repositories/11/archival_objects/2399202,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 24 qua,"Letter, Ptolemaic BCE iii (ca. 265) [BPG]",file,/repositories/11/digital_objects/197503,P.CtYBR inv. 24 qua,b9b579ed-3239-4e31-9ec3-50f7c82ce2e6,,,,P.CtYBR inv. 24 qua,,,
/repositories/11/archival_objects/2399203,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 25,"Letter, Ptolemaic BCE iii (ca. 230) [BPG]",file,/repositories/11/digital_objects/201461,P.CtYBR inv. 25,830d292b-ddbe-41f3-a8d3-acf179fb20c5,,,,P.CtYBR inv. 25,,,
/repositories/11/archival_objects/2399204,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 26,"Letter, Ptolemaic BCE iii (ca. 230) [BPG]",file,/repositories/11/digital_objects/197807,P.CtYBR inv. 26,6c810759-f7a9-4298-ac26-2e6de1ee3cca,,,,P.CtYBR inv. 26,,,
/repositories/11/archival_objects/2399205,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 27 qua,"Letter, Ptolemaic BCE 227, Jul 16-Aug 14",file,/repositories/11/digital_objects/201012,P.CtYBR inv. 27 qua,f9d6b36b-fd97-4087-a7ab-1b3fbca3b826,,,,P.CtYBR inv. 27 qua,,,
/repositories/11/archival_objects/2399206,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 38 fol,"Registration, Roman CE 58",file,/repositories/11/digital_objects/199379,P.CtYBR inv. 38 fol,a2cbe8eb-c98c-4085-8fe6-9a9bb9b25ba5,,,,P.CtYBR inv. 38 fol,,,
/repositories/11/archival_objects/2399207,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 44(A) qua,"Literary work, Roman CE late i-early ii [BPG]",file,/repositories/11/digital_objects/199478,P.CtYBR inv. 44(A) qua,b5b32929-387c-4e1a-a357-69d655e9e90d,,,,P.CtYBR inv. 44 qua,,,
/repositories/11/archival_objects/2399208,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 44(B) qua,"Account, Roman CE ii [BPG]",file,/repositories/11/digital_objects/202232,P.CtYBR inv. 44(B) qua,0c823290-0c9b-4954-a4c4-9dee361b3ab5,,,,,,,
/repositories/11/archival_objects/2399209,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 45,"Literary work, Roman CE late ii-iii [BPG]",file,/repositories/11/digital_objects/200080,P.CtYBR inv. 45,1d8f9f2f-7d89-4db1-bafe-01a53a0a7fbc,,,,P.CtYBR inv. 45,,,
/repositories/11/archival_objects/2399210,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 46,"Literary work, Roman CE iii [BPG]",file,/repositories/11/digital_objects/197519,P.CtYBR inv. 46,36f6b403-966f-4428-99a5-f67ac4a50a59,,,,P.CtYBR inv. 46,,,
/repositories/11/archival_objects/2399211,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 47(A),"Literary work, Roman CE ii [BPG]",file,/repositories/11/digital_objects/201351,P.CtYBR inv. 47(A),23068503-4315-44b8-bd1a-7c9b8d4fb9a9,,,,P.CtYBR inv. 47,,,
/repositories/11/archival_objects/2399212,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 47(B),"Account, Roman CE ii [BPG]",file,/repositories/11/digital_objects/200594,P.CtYBR inv. 47(B),7f4682a9-9a51-4f99-a077-5414bbc40934,,,,,,,
/repositories/11/archival_objects/2399213,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 48,"Literary work, Roman CE ii [BPG]",file,/repositories/11/digital_objects/200415,P.CtYBR inv. 48,8e3d5a9c-1707-482f-832d-60bdf557bfef,,,,P.CtYBR inv. 48,,,
/repositories/11/archival_objects/2399214,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 49,"Contract, Roman CE early ii [BPG]",file,/repositories/11/digital_objects/202198,P.CtYBR inv. 49,bc61f75a-7f52-428f-901e-b43c8d466448,,,,P.CtYBR inv. 49,,,
/repositories/11/archival_objects/2399215,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 65,"Certificate, Roman CE 250, Jun 14",file,/repositories/11/digital_objects/200891,P.CtYBR inv. 65,945e819f-97dc-4a68-a69d-fd81d9c52e96,,,,P.CtYBR inv. 65,,,
/repositories/11/archival_objects/2399216,Yale Papyrus Collection,YPC,"Acquisition information, 1906",P.CtYBR inv. 66,"Registration, Roman CE 193",file,/repositories/11/digital_objects/203715,P.CtYBR inv. 66,0c2ddeb0-1134-45d4-9a74-572d8f2a63cd,,,,P.CtYBR inv. 66,,,
